case_name,release_date,author_judge,status,appeal_number
Tau-Ken Temir LLP v. United States,2025-08-04,,ingested,22-2204
"Fmc Corporation v. Sharda USA, LLC",2025-08-01,Chen,ingested,24-2335
"Kroy Ip Holdings, LLC v. Groupon, Inc.",2025-08-01,Hughes,ingested,23-1359
Wright v. Collins,2025-08-01,Dyk,ingested,24-1105
Dinh v. United States,2025-07-31,,ingested,23-2100
Cerrone v. Hhs,2025-07-29,Bryson,ingested,24-1281
"Jiaxing Super Lighting Electric Appliance, Co. v. Ch Lighting Technology Co., Ltd.",2025-07-28,,ingested,23-1715
Jilin Forest Industry Jinqiao Flooring Group Co. v. United States,2025-07-28,,ingested,23-2245
"Acorda Therapeutics, Inc. v. Alkermes Plc",2025-07-25,STARK,ingested,23-2374
"Sunkist Growers, Inc. v. Intrastate Distributors, Inc.",2025-07-23,STARK,ingested,24-1212
Igt v. Zynga Inc.,2025-07-22,,ingested,23-2262
"Colibri Heart Valve LLC v. Medtronic Corevalve, LLC",2025-07-18,Hughes,ingested,23-2153
Top Brand LLC v. Cozy Comfort Company LLC,2025-07-17,Dyk,ingested,24-2191
"Shockwave Medical, Inc. v. Cardiovascular Systems, Inc.",2025-07-14,Dyk,ingested,23-1864
"Janssen Pharmaceuticals, Inc. v. Teva Pharmaceuticals USA, Inc.",2025-07-08,,ingested,25-1228
"Egenera, Inc. v. Cisco Systems, Inc.",2025-07-07,,ingested,23-1428
"Eye Therapies, LLC v. Slayback Pharma LLC",2025-06-30,,ingested,23-2173
Deal v. Collins,2025-06-27,Dyk,ingested,23-2214
Realtek Semiconductor Corporation v. Itc,2025-06-18,Chen,ingested,23-1187
Ag Der Dillinger Huttenwerke v. United States,2025-06-17,Dyk,ingested,24-1219
"Ancora Technologies, Inc. v. Roku, Inc.",2025-06-16,Hughes,ingested,23-1674
"Optis Wireless Technology, LLC v. Apple Inc.",2025-06-16,Prost,ingested,22-1925
Stuart v. Opm,2025-06-13,Bryson,ingested,24-1024
"Mitek Systems, Inc. v. United Services Automobile Association",2025-06-12,CHEN,ingested,23-1687
United Services Automobile Association v. Pnc Bank N.A.,2025-06-12,Hughes,ingested,23-1639
"Agilent Technologies, Inc. v. Synthego Corp.",2025-06-11,REYNA,ingested,23-2186
Fraunhofer-Gesellschaft v. Sirius Xm Radio Inc.,2025-06-09,Lourie,ingested,23-2267
Lobo v. DOJ,2025-06-09,Taranto,ingested,24-1198
Stratton v. Hhs,2025-06-06,Cunningham,ingested,23-2230
Beacon Point Associates LLC v. DVA,2025-06-05,Hughes,ingested,24-1076
"Dolby Laboratories Licensing Corporation v. Unified Patents, LLC",2025-06-05,Chen,ingested,23-2110
La Molisana S.P.A. v. United States,2025-06-05,Stoll,ingested,23-2060
"Alnylam Pharmaceuticals, Inc. v. Moderna, Inc.",2025-06-04,Hughes,ingested,23-2357
Bannister v. United States,2025-06-04,Stark,ingested,23-1978
Herrington v. Collins,2025-05-30,Cunningham,ingested,23-2358
"Sigray, Inc. v. Carl Zeiss X-Ray Microscopy, Inc.",2025-05-23,Prost,ingested,23-2211
"Curtin v. United Trademark Holdings, Inc.",2025-05-22,Hughes,ingested,23-2140
"Ecofactor, Inc. v. Google LLC",2025-05-21,Stark,ingested,23-1101
In Re VETEMENTS GROUP AG,2025-05-21,CHEN,ingested,23-2050
Lessors of Abchakan Village v. Defense,2025-05-16,Cunningham,ingested,23-1523
"The Broad Institute, Inc. v. the Regents of the University of California",2025-05-12,Reyna,ingested,22-1653
"In Re THOMAS D. FOSTER, APC",2025-05-07,Stoll,ingested,23-1527
"Incyte Corporation v. Sun Pharmaceutical Industries, Inc.",2025-05-07,CUNNINGHAM,ingested,23-1300
"Incyte Corporation v. Sun Pharmaceutical Industries, Ltd.",2025-05-07,Hughes,ingested,25-1162
"Ingenico Inc. v. Ioengine, LLC",2025-05-07,Wcb,ingested,23-1367
In Re KOSTIC,2025-05-06,CUNNINGHAM,ingested,23-1437
"Jazz Pharmaceuticals, Inc. v. Avadel Cns Pharmaceuticals, LLC",2025-05-06,Lourie,ingested,24-2274
Amezquita v. Collins,2025-05-05,Prost,ingested,23-1975
"Ats Ford Drive Investment, LLC v. United States",2025-05-05,Cunningham,ingested,23-1760
Hatfield v. Collins,2025-05-02,Lourie,ingested,23-2280
Steele v. Collins,2025-05-01,Linn,ingested,23-2049
"Fintiv, Inc. v. Paypal Holdings, Inc.",2025-04-30,Prost,ingested,23-2312
In Re PT MEDISAFE TECHNOLOGIES,2025-04-29,STARK,ingested,23-1573
Qualcomm Incorporated v. Apple Inc.,2025-04-23,Reyna,ingested,23-1208
Boyd v. United States,2025-04-22,Stark,ingested,23-2104
Marmen Inc. v. United States,2025-04-22,Prost,ingested,23-1877
"Dongkuk S&C Co., Ltd. v. United States",2025-04-21,Reyna,ingested,23-1419
Target Corporation v. United States,2025-04-21,Reyna,ingested,23-2274
"Recentive Analytics, Inc. v. Fox Corp.",2025-04-18,Dyk,ingested,23-2437
"Sage Products, LLC v. Stewart",2025-04-15,Stark,ingested,23-1603
"In Re SAP AMERICA, INC.",2025-04-10,Per Curiam,ingested,25-118
Heritage Alliance v. American Policy Roundtable,2025-04-09,STARK,ingested,24-1155
"Azurity Pharmaceuticals, Inc. v. Alkem Laboratories Ltd.",2025-04-08,Chen,ingested,23-1977
"Ams-Osram USA Inc. v. Renesas Electronics America, Inc.",2025-04-04,Taranto,ingested,22-2185
Smith v. Collins,2025-04-04,Reyna,ingested,23-1749
In Re FOREST,2025-04-03,CHEN,ingested,23-1178
United Water Conservation District v. United States,2025-04-02,Lourie,ingested,23-1602
Roseberry v. Collins,2025-03-31,Stark,ingested,23-2288
Etchegoinberry v. United States,2025-03-24,Cunningham,ingested,23-2196
In Re RIGGS,2025-03-24,Stoll,ingested,22-1945
Wash World Inc. v. Belanger Inc.,2025-03-24,Stark,ingested,23-1841
"Actavis Laboratories Fl, Inc. v. United States",2025-03-21,STARK,ingested,23-1320
Maquet Cardiovascular LLC v. Abiomed Inc.,2025-03-21,Reyna,ingested,23-2045
"Amp Plus, Inc. v. Dmf, Inc.",2025-03-19,REYNA,ingested,23-1997
"Associated Energy Group, LLC v. United States",2025-03-19,Stoll,ingested,24-1574
"Dollar Financial Group, Inc. v. Brittex Financial, Inc.",2025-03-19,HUGHES,ingested,23-1375
Williams v. Collins,2025-03-19,CUNNINGHAM,ingested,23-1840
Lesko v. United States,2025-03-18,Stark,ingested,23-1823
Realtek Semiconductor Corporation v. Itc,2025-03-18,Reyna,ingested,23-1095
"Regeneron Pharmaceuticals, Inc. v. Mylan Pharmaceuticals Inc.",2025-03-14,Lourie,ingested,24-2351
"In Re XENCOR, INC.",2025-03-13,Stark,ingested,24-1870
"Merck Sharp & Dohme B v. v. Aurobindo Pharma USA, Inc.",2025-03-13,Dyk,ingested,23-2254
"Bullshine Distillery LLC v. Sazerac Brands, LLC",2025-03-12,Taranto,ingested,23-1682
"Cqv Co., Ltd. v. Merck Patent Gmbh",2025-03-10,CUNNINGHAM,ingested,23-1027
"Sierra Wireless, Ulc v. Sisvel S.P.A.",2025-03-10,Gajarsa,ingested,23-1059
Smith v. Collins,2025-03-10,Taranto,ingested,23-2213
Technology Licensing Corp. v. Videotek,2025-03-10,,ingested,2007-1441
"Alivecor, Inc. v. Apple Inc.",2025-03-07,Stark,ingested,23-1512
"Iqris Technologies LLC v. Point Blank Enterprises, Inc.",2025-03-07,STOLL,ingested,23-2062
"Immunogen, Inc. v. Stewart",2025-03-06,Lourie,ingested,23-1762
Military-Veterans Advocacy v. Secretary of Veterans Affairs,2025-03-06,Stoll,ingested,23-1413
Odyssey Logistics & Technology Corp. v. Stewart,2025-03-06,Dyk,ingested,23-2077
"Lashify, Inc. v. Itc",2025-03-05,Taranto,ingested,23-1245
"Apple Inc. v. Gesture Technology Partners, LLC",2025-03-04,Prost,ingested,23-1475
"Restem, LLC v. Jadi Cell, LLC",2025-03-04,Taranto,ingested,23-2054
Doe No. 1 v. United States,2025-03-03,Cunningham,ingested,23-1653
Flightsafety International Inc. v. Air Force,2025-02-28,Dyk,ingested,23-1700
"All One God Faith, Inc. v. United States",2025-02-27,Hughes,ingested,23-1078
Sadler v. Army,2025-02-25,HUGHES,ingested,23-1981
US Synthetic Corp. v. Itc,2025-02-13,Chen,ingested,23-1217
"Pirelli Tyre Co., Ltd. v. United States",2025-02-11,Taranto,ingested,23-2266
"Cotter Corp., N.S.L. v. United States",2025-02-10,Taranto,ingested,23-1826
"Kroy Ip Holdings, LLC v. Groupon, Inc.",2025-02-10,TARANTO,ingested,23-1359
Siples v. Collins,2025-02-07,Chen,ingested,22-1528
"Trudell Medical International Inc. v. D R Burton Healthcare, LLC",2025-02-07,Stoll,ingested,23-1777
Wuhan Healthgen Biotechnology Corp. v. Itc,2025-02-07,Chen,ingested,23-1389
Hd Silicon Solutions LLC v. Microchip Technology Inc.,2025-02-06,CUNNINGHAM,ingested,23-1397
27-35 Jackson Ave LLC v. United States,2025-02-04,STARK,ingested,23-1122
"Regeneron Pharmaceuticals, Inc. v. Mylan Pharmaceuticals Inc.",2025-01-29,Taranto,ingested,24-1965
Abutalib v. MSPB,2025-01-28,STOLL,ingested,23-1400
"Apple Inc. v. Gesture Technology Partners, LLC",2025-01-27,Dyk,ingested,23-1501
"Steuben Foods, Inc. v. Shibuya Hoppmann Corporation",2025-01-24,Cunningham,ingested,23-1790
"Steuben Foods, Inc. v. Shibuya Hoppmann Corporation",2025-01-24,CUNNINGHAM,ingested,23-1790
Biswas v. DVA,2025-01-17,HUGHES,ingested,23-1552
"Lynk Labs, Inc. v. Samsung Electronics Co., Ltd.",2025-01-14,Prost,ingested,23-2346
Bearbox LLC v. Lancium LLC,2025-01-13,Stoll,ingested,23-1922
Novartis Pharmaceuticals Corporation v. Torrent Pharma Inc.,2025-01-10,Lourie,ingested,23-2218
Bitmanagement Software Gmbh v. United States,2025-01-07,Stark,ingested,23-1506
"Oman Fasteners, LLC v. United States",2025-01-07,Taranto,ingested,23-1661
Knox v. DOJ,2025-01-06,Stoll,ingested,23-1160
Ceramtec Gmbh v. Coorstek Bioceramics LLC,2025-01-03,Lourie,ingested,23-1502
"Honeywell International Inc. v. 3g Licensing, S.A.",2025-01-02,Stoll,ingested,23-1354
Rodenhizer v. McDonough,2024-12-30,Dyk,ingested,23-1377
Winterbottom v. McDonough,2024-12-27,Hughes,ingested,23-2097
In Re SECRETARY OF THE ARMY,2024-12-26,TARANTO,ingested,23-2067
"Teva Branded Pharmaceutical Products R&D, Inc. v. Amneal Pharmaceuticals of New York, LLC",2024-12-20,Prost,ingested,24-1936
"Cloudofchange, LLC v. Ncr Corporation",2024-12-18,STOLL,ingested,23-1111
City of Fresno v. United States,2024-12-17,Stark,ingested,22-1994
Anchorage v. United States,2024-12-16,Hughes,ingested,22-1719
"Esimplicity, Inc. v. United States",2024-12-16,CUNNINGHAM,ingested,23-1216
"Palo Alto Networks, Inc. v. Centripetal Networks, LLC",2024-12-16,Stoll,ingested,23-1636
Pipes v. United States,2024-12-16,Chen,ingested,22-1509
"Meyer Corporation, U.S. v. United States",2024-12-13,Hughes,ingested,23-1570
"Crown Packaging Technology, Inc. v. Belvac Production MacHinery, Inc.",2024-12-10,Dyk,ingested,22-2299
"Itserve Alliance, Inc. v. United States",2024-12-10,Stoll,ingested,23-1052
"Ddr Holdings, LLC v. priceline.com LLC",2024-12-09,Chen,ingested,23-1176
Goss v. McDonough,2024-12-09,Cunningham,ingested,23-1683
Metropolitan Area Ems Authority v. Secretary of Veterans Affairs,2024-12-09,Stoll,ingested,24-1104
"Risen Energy Co., Ltd. v. United States",2024-12-09,Dyk,ingested,23-1550
Champagne v. McDonough,2024-12-06,Stark,ingested,23-1047
"Galderma Laboratories, L.P. v. Lupin Inc.",2024-12-06,Sb,ingested,24-1664
Ps Products Inc. v. Panther Trading Co. Inc.,2024-12-06,CUNNINGHAM,ingested,23-1665
"Ecofactor, Inc. v. Google LLC",2024-12-05,Stark,ingested,23-1101
Cytiva Bioprocess R&D Ab v. Jsr Corp.,2024-12-04,Prost,ingested,23-2074
"Mirror Worlds Technologies, LLC v. Meta Platforms, Inc.",2024-12-04,Taranto,ingested,22-1600
"percipient.ai, Inc. v. United States",2024-11-22,Stark,ingested,23-1970
"Cisco Systems, Inc. v. K.mizra LLC",2024-11-19,Reyna,ingested,22-2290
Sheller v. Hhs,2024-11-18,Stoll,ingested,23-1746
McCoy v. MSPB,2024-10-24,STARK,ingested,24-1565
"Nexstep, Inc. v. Comcast Cable Communications, LLC",2024-10-24,Chen,ingested,22-1815
"Telefonaktiebolaget Lm Ericsson v. Lenovo (United States), Inc.",2024-10-24,Prost,ingested,24-1515
"Shamrock Building Materials, Inc. v. United States",2024-10-23,Taranto,ingested,23-1648
Sage Acquisitions LLC v. Hud,2024-10-18,Dyk,ingested,23-1907
Utto Inc. v. Metrotech Corp.,2024-10-18,HUGHES,ingested,23-1435
"J.D. Irving, Ltd. v. United States",2024-10-10,Stoll,ingested,23-1652
"Alexsam, Inc. v. Aetna, Inc.",2024-10-08,STARK,ingested,22-2036
"Worldwide Door Components, Inc. v. United States",2024-10-08,Hughes,ingested,23-1532
Boeing Company v. United States,2024-10-04,Hughes,ingested,23-1018
"Vensure Hr, Inc. v. United States",2024-10-04,CHEN,ingested,23-1640
"Crocs, Inc. v. Effervescent, Inc.",2024-10-03,Reyna,ingested,22-2160
"Provisur Technologies, Inc. v. Weber, Inc.",2024-10-02,Taranto,ingested,23-1438
"Ecofactor, Inc. v. Google LLC",2024-09-25,Stark,ingested,23-1101
"Astellas Pharma, Inc. v. Sandoz Inc.",2024-09-18,REYNA,ingested,23-2032
"Astellas Pharma, Inc. v. Sandoz Inc.",2024-09-18,Lourie,ingested,23-2032
"Oak Grove Technologies, LLC v. United States",2024-09-16,STARK,ingested,22-1556
"Oak Grove Technologies, LLC v. United States",2024-09-16,Stark,ingested,22-1556
"Vascular Solutions LLC v. Medtronic, Inc.",2024-09-16,PROST,ingested,24-1398
"Vascular Solutions LLC v. Medtronic, Inc.",2024-09-16,Prost,ingested,24-1398
"Oak Grove Technologies, LLC v. United States",2024-09-11,Stark,ingested,22-1556
"Oak Grove Technologies, LLC v. United States",2024-09-11,STARK,ingested,22-1556
"Contour Ip Holding LLC v. Gopro, Inc.",2024-09-09,REYNA,ingested,22-1654
"Contour Ip Holding LLC v. Gopro, Inc.",2024-09-09,REYNA,ingested,22-1654
"Parkervision, Inc. v. Qualcomm Incorporated",2024-09-06,STARK,ingested,22-1755
"Parkervision, Inc. v. Qualcomm Incorporated",2024-09-06,Chen,ingested,22-1755
"Osseo Imaging, LLC v. Planmeca USA Inc.",2024-09-04,Stoll,ingested,23-1627
"Osseo Imaging, LLC v. Planmeca USA Inc.",2024-09-04,STOLL,ingested,23-1627
"Broadband Itv, Inc. v. amazon.com, Inc.",2024-09-03,STARK,ingested,23-1107
"Broadband Itv, Inc. v. amazon.com, Inc.",2024-09-03,Reyna,ingested,23-1107
Smith v. McDonough,2024-08-28,HUGHES,ingested,23-1378
Smith v. McDonough,2024-08-28,Hughes,ingested,23-1378
Wisconsin Alumni Research Foundation v. Apple Inc.,2024-08-28,CHEN,ingested,22-1884
Wisconsin Alumni Research Foundation v. Apple Inc.,2024-08-28,CHEN,ingested,22-1884
Dojaquez v. McDonough,2024-08-27,HUGHES,ingested,23-1045
Dojaquez v. McDonough,2024-08-27,Hughes,ingested,23-1045
"Realtime Adaptive Streaming LLC v. Sling Tv, L.L.C.",2024-08-23,LOURIE,ingested,23-1035
"Realtime Adaptive Streaming LLC v. Sling Tv, L.L.C.",2024-08-23,Lourie,ingested,23-1035
Freund v. McDonough,2024-08-20,Dyk,ingested,23-1387
Platinum Optics Technology Inc. v. Viavi Solutions Inc.,2024-08-16,Taranto,ingested,23-1227
"Allergan USA, Inc. v. Msn Laboratories Private Ltd.",2024-08-13,Lourie,ingested,24-1061
Solar Energy Industries Association v. United States,2024-08-13,Stark,ingested,22-1392
Celanese International Corporation v. Itc,2024-08-12,Reyna,ingested,22-1827
Richardson v. United States,2024-08-09,Cunningham,ingested,22-1520
"Darby Development Company, Inc. v. United States",2024-08-07,Prost,ingested,22-1929
"Primesource Building Products, Inc. v. United States",2024-08-07,Lourie,ingested,22-2128
Bureau National Interprofessionnel Du Cognac v. Cologne & Cognac Entertainment,2024-08-06,Lourie,ingested,23-1100
Mobile Acuity Ltd. v. Blippar Ltd.,2024-08-06,Stark,ingested,22-2216
Mote v. United States,2024-08-06,Per Curiam,ingested,24-1257
Lewis v. McDonough,2024-08-01,TARANTO,ingested,23-1298
Lewis v. McDonough,2024-08-01,TARANTO,ingested,23-1298
"Voice Tech Corp. v. Unified Patents, LLC",2024-08-01,CUNNINGHAM,ingested,22-2163
"Voice Tech Corp. v. Unified Patents, LLC",2024-08-01,CUNNINGHAM,ingested,22-2163
"Sanho Corp. v. Kaijet Technology International Limited, Inc.",2024-07-31,STOLL,ingested,23-1336
