case_name,release_date,author_judge,status,appeal_number
"22nd Century Technologies, Inc. v. United States",2023-01-10,Dyk,ingested,22-1275
In Re GOOGLE LLC,2023-01-09,Prost,ingested,22-1012
"In Re STINGRAY IP SOLUTIONS, LLC",2023-01-09,STARK,ingested,23-102
Mattox v. McDonough,2023-01-09,Schall,ingested,21-2175
"Dionex Softron Gmbh v. Agilent Technologies, Inc.",2023-01-06,STARK,ingested,21-2372
Pokarna Engineered Stone Limited v. United States,2023-01-05,Lourie,ingested,22-1077
Secretary of Defense v. Raytheon Company,2023-01-03,Prost,ingested,21-2304
Modern Font Applications LLC v. Alaska Airlines,2022-12-29,Cunningham,ingested,21-1838
"Genentech, Inc. v. Sandoz Inc.",2022-12-22,Lourie,ingested,22-1595
Hanser v. McDonough,2022-12-21,Stark,ingested,21-1974
"Mosaic Brands, Inc. v. Ridge Wallet LLC",2022-12-20,Stark,ingested,22-1001
Cranford v. McDonough,2022-12-19,Hughes,ingested,21-1973
Dimasi v. Hhs,2022-12-19,Per Curiam,ingested,22-1854
"Plastipak Packaging, Inc. v. Premium Waters, Inc.",2022-12-19,Stark,ingested,21-2244
Adasa Inc. v. Avery Dennison Corporation,2022-12-16,Stark,ingested,22-1092
Rudisill v. McDonough,2022-12-15,Dyk,ingested,20-1637
"Google LLC v. Hammond Development International, Inc.",2022-12-08,Stoll,ingested,21-2218
"Obsidian Solutions Group, LLC v. United States",2022-12-08,CUNNINGHAM,ingested,21-1836
Edenfield v. DVA,2022-12-05,Hughes,ingested,21-2001
Supreme Foodservice Gmbh v. Director of the Defense Logistics Agency,2022-12-05,Hughes,ingested,21-1965
Gudinas v. McDonough,2022-12-02,Bryson,ingested,21-2171
Abrantes v. United States,2022-11-30,Reyna,ingested,21-2021
Avalos v. United States,2022-11-30,Hughes,ingested,21-2008
Martin v. United States,2022-11-30,Hughes,ingested,21-2255
Treehouse Avatar LLC v. Valve Corporation,2022-11-30,STOLL,ingested,22-1171
Bridges v. United States,2022-11-29,Prost,ingested,22-1140
Rhone v. McDonough,2022-11-17,Hughes,ingested,22-1360
CUPP COMPUTING AS v. TREND MICRO INC.,2022-11-16,Dyk,ingested,20-2262
Vlsi Technology LLC v. Intel Corporation,2022-11-15,Bryson,ingested,21-1826
American National v. Sleep Number Corporation,2022-11-14,Stoll,ingested,21-1321
McIntosh v. Defense,2022-11-09,Hughes,ingested,19-2454
"Soclean, Inc. v. Sunset Healthcare Solutions, Inc.",2022-11-09,PROST,ingested,21-2311
In Re APPLE INC.,2022-11-08,TARANTO,ingested,22-162
Uniloc 2017 LLC v. Google LLC,2022-11-04,Dyk,ingested,21-1498
"Uniloc USA, Inc. v. Motorola Mobility LLC",2022-11-04,Dyk,ingested,21-1555
"Finjan LLC v. Eset, LLC",2022-11-01,TARANTO,ingested,21-2093
Abc Corporation I v. Partnership and Unincorporated Associations,2022-10-28,Taranto,ingested,21-2150
Abc Corporation I v. Partnership and Unincorporated Associations,2022-10-28,Dyk,ingested,22-1071
"IBM v. Zillow Group, Inc.",2022-10-17,Hughes,ingested,21-2350
"Nature Simulation Systems Inc. v. Autodesk, Inc.",2022-10-17,Newman,ingested,20-2257
Hekmati v. United States,2022-10-13,Cunningham,ingested,21-2086
Weisner v. Google LLC,2022-10-13,Stoll,ingested,21-2228
"In Re MONOLITHIC POWER SYSTEMS, INC.",2022-09-30,Per Curiam,ingested,22-153
Mylan Pharmaceuticals Inc. v. Merck Sharp & Dohme Corp.,2022-09-29,Lourie,ingested,21-2121
"Cooperative Entertainment, Inc. v. Kollective Technology, Inc.",2022-09-28,Stark,ingested,21-2167
Memmer v. United States,2022-09-28,Schall,ingested,21-2133
"Provisur Technologies, Inc. v. Weber, Inc.",2022-09-27,STARK,ingested,21-1942
Johnson v. Air Force,2022-09-26,Cunningham,ingested,21-1579
"Xi""an Metals & Minerals Import & Export Co., Ltd. v. United States",2022-09-23,Stoll,ingested,21-2205
Nova v. Secretary of Veterans Affairs,2022-09-20,Cunningham,ingested,20-1321
Polaris Innovations Limited v. Brent,2022-09-15,Stoll,ingested,19-1483
Sawstop Holding LLC v. Vidal,2022-09-14,Linn,ingested,21-1537
"California Steel Industries, Inc. v. United States",2022-09-08,Newman,ingested,21-2172
"California Steel Industries, Inc. v. United States",2022-09-08,Newman,ingested,21-2172
Hyatt v. PTO,2022-09-08,PROST,ingested,21-2324
Hyatt v. PTO,2022-09-08,Prost,ingested,21-2324
Skaar v. McDonough,2022-09-08,Hughes,ingested,21-1757
Skaar v. McDonough,2022-09-08,HUGHES,ingested,21-1757
Arendi S.A.R.L. v. Lg Electronics Inc.,2022-09-07,STOLL,ingested,21-1967
Arendi S.A.R.L. v. Lg Electronics Inc.,2022-09-07,Prost,ingested,21-1967
"Arp Materials, Inc. v. United States",2022-09-06,STOLL,ingested,21-2176
"Arp Materials, Inc. v. United States",2022-09-06,Hughes,ingested,21-2176
Invt Spe LLC v. Itc,2022-08-31,Chen,ingested,20-1903
Invt Spe LLC v. Itc,2022-08-31,CHEN,ingested,20-1903
"Best Medical International, Inc. v. Elekta Inc.",2022-08-29,STOLL,ingested,21-2099
"Best Medical International, Inc. v. Elekta Inc.",2022-08-29,STOLL,ingested,21-2099
Carter v. McDonough,2022-08-29,HUGHES,ingested,21-2077
Carter v. McDonough,2022-08-29,Hughes,ingested,21-2077
Yc Rubber Co. (North America) v. United States,2022-08-29,Newman,ingested,21-1489
"Best Medical International, Inc. v. Elekta Inc.",2022-08-26,STOLL,ingested,21-2099
"Best Medical International, Inc. v. Elekta Inc.",2022-08-26,STOLL,ingested,21-2099
In Re KILLIAN,2022-08-23,CHEN,ingested,21-2113
In Re KILLIAN,2022-08-23,CHEN,ingested,21-2113
"Par Pharmaceutical, Inc. v. Eagle Pharmaceuticals, Inc.",2022-08-18,Hughes,ingested,21-2342
"Par Pharmaceutical, Inc. v. Eagle Pharmaceuticals, Inc.",2022-08-18,Hughes,ingested,21-2342
"Click-To-Call Technologies, Lp v. Ingenio, Inc.",2022-08-17,Stoll,ingested,22-1016
"Click-To-Call Technologies, Lp v. Ingenio, Inc.",2022-08-17,CUNNINGHAM,ingested,22-1016
"In Re PALO ALTO NETWORKS, INC.",2022-08-16,DYK,ingested,22-145
"In Re PALO ALTO NETWORKS, INC.",2022-08-16,Dyk,ingested,22-145
Kamstrup A/S v. Axioma Metering Uab,2022-08-12,CUNNINGHAM,ingested,21-1923
Kamstrup A/S v. Axioma Metering Uab,2022-08-12,CUNNINGHAM,ingested,21-1923
Labonte v. United States,2022-08-12,Schall,ingested,21-1432
Labonte v. United States,2022-08-12,STOLL,ingested,21-1432
"Hologic, Inc. v. Minerva Surgical, Inc.",2022-08-11,WALLACH,ingested,19-2054
"Hologic, Inc. v. Minerva Surgical, Inc.",2022-08-11,Stoll,ingested,19-2054
Lsi Corporation v. Regents of the University of Minnesota,2022-08-11,HUGHES,ingested,21-2057
Lsi Corporation v. Regents of the University of Minnesota,2022-08-11,HUGHES,ingested,21-2057
"Meyer Corporation, U.S. v. United States",2022-08-11,HUGHES,ingested,21-1932
"Meyer Corporation, U.S. v. United States",2022-08-11,Hughes,ingested,21-1932
In Re MCDONALD,2022-08-10,CUNNINGHAM,ingested,21-1697
In Re MCDONALD,2022-08-10,CUNNINGHAM,ingested,21-1697
Coy v. Treasury,2022-08-09,STOLL,ingested,21-2098
Coy v. Treasury,2022-08-09,STOLL,ingested,21-2098
Thaler v. Vidal,2022-08-05,STARK,ingested,21-2347
Thaler v. Vidal,2022-08-05,Stark,ingested,21-2347
Vicentin S.A.I.C. v. United States,2022-08-02,Hughes,ingested,21-1988
Vicentin S.A.I.C. v. United States,2022-08-02,HUGHES,ingested,21-1988
"Aspects Furniture International, Inc. v. United States",2022-07-28,Reyna,ingested,21-2060
"Aspects Furniture International, Inc. v. United States",2022-07-28,STOLL,ingested,21-2060
"Realtime Adaptive Streaming v. Netflix, Inc.",2022-07-27,CHEN,ingested,21-1484
"Realtime Adaptive Streaming v. Netflix, Inc.",2022-07-27,CHEN,ingested,21-1484
"Caredx, Inc. v. Natera, Inc.",2022-07-18,Lourie,ingested,22-1027
Morris v. McDonough,2022-07-18,Taranto,ingested,21-2032
Zafer Construction Company v. United States,2022-07-18,HUGHES,ingested,21-1547
Lanclos v. United States,2022-07-15,Chen,ingested,21-1750
"Koninklijke Philips N v. v. Thales USA, Inc.",2022-07-13,Chen,ingested,21-2106
"Lg Electronics Inc. v. Immervision, Inc.",2022-07-11,Stoll,ingested,21-2037
"Shanxi Hairui Trade Co., Ltd. v. United States",2022-07-06,Stoll,ingested,21-2067
Long v. McDonough,2022-06-29,Bryson,ingested,21-1669
"Meenaxi Enterprise, Inc. v. the Coca-Cola Company",2022-06-29,DYK,ingested,21-2209
Bowling v. McDonough,2022-06-28,Moore,ingested,21-1945
Static Media LLC v. Leader Accessories LLC,2022-06-28,TARANTO,ingested,21-2303
"Centripetal Networks, Inc. v. Cisco Systems, Inc.",2022-06-23,CUNNINGHAM,ingested,21-1888
"Centripetal Networks, Inc. v. Cisco Systems, Inc.",2022-06-23,Dyk,ingested,21-1888
Haggart v. United States,2022-06-22,Taranto,ingested,21-1660
Haggart v. United States,2022-06-22,TARANTO,ingested,21-1660
Novartis Pharmaceuticals v. Accord Healthcare Inc.,2022-06-21,Hughes,ingested,21-1070
Novartis Pharmaceuticals v. Accord Healthcare Inc.,2022-06-21,Chief Judge,ingested,21-1070
Military-Veterans Advocacy v. Secretary of Veterans Affairs,2022-06-17,Prost,ingested,20-2086
Military-Veterans Advocacy v. Secretary of Veterans Affairs,2022-06-17,PROST,ingested,20-2086
"University of Massachusetts v. L""oreal S.A.",2022-06-13,Taranto,ingested,21-1969
"University of Massachusetts v. L""oreal S.A.",2022-06-13,TARANTO,ingested,21-1969
"Usp Holdings, Inc. v. United States",2022-06-09,Dyk,ingested,21-1726
"Usp Holdings, Inc. v. United States",2022-06-09,DYK,ingested,21-1726
"Pavo Solutions LLC v. Kingston Technology Company, Inc.",2022-06-03,CHEN,ingested,21-1834
"Pavo Solutions LLC v. Kingston Technology Company, Inc.",2022-06-03,CHEN,ingested,21-1834
Milton v. United States,2022-06-02,Cunningham,ingested,21-1131
Milton v. United States,2022-06-02,Cunningham,ingested,21-1131
"Clearone, Inc. v. Shure Acquisition Holdings",2022-06-01,,ingested,21-1517
"Clearone, Inc. v. Shure Acquisition Holdings",2022-06-01,Moore,ingested,21-1517
Tiger Lily Ventures Ltd. v. Barclays Capital Inc.,2022-06-01,PROST,ingested,21-1107
Tiger Lily Ventures Ltd. v. Barclays Capital Inc.,2022-06-01,PROST,ingested,21-1107
"Arthrex, Inc. v. Smith & Nephew, Inc.",2022-05-27,Chen,ingested,18-2140
"Arthrex, Inc. v. Smith & Nephew, Inc.",2022-05-27,Chen,ingested,18-2140
Hitachi Energy USA Inc. v. United States,2022-05-24,DYK,ingested,20-2114
Hitachi Energy USA Inc. v. United States,2022-05-24,Newman,ingested,20-2114
Kaufman v. Microsoft Corporation,2022-05-20,Taranto,ingested,21-1634
Kaufman v. Microsoft Corporation,2022-05-20,TARANTO,ingested,21-1634
"Mitek Systems, Inc. v. United Services Automobile Association",2022-05-20,CUNNINGHAM,ingested,21-1989
"Mitek Systems, Inc. v. United Services Automobile Association",2022-05-20,CUNNINGHAM,ingested,21-1989
T.S. v. Hhs,2022-05-20,Bryson,ingested,21-1866
T.S. v. Hhs,2022-05-20,Chief Judge,ingested,21-1866
Google LLC v. Ipa Technologies Inc.,2022-05-19,Dyk,ingested,21-1179
Google LLC v. Ipa Technologies Inc.,2022-05-19,TARANTO,ingested,21-1179
Klipp v. Dhs,2022-05-19,STOLL,ingested,21-1386
Klipp v. Dhs,2022-05-19,STOLL,ingested,21-1386
Groves v. McDonough,2022-05-17,Dyk,ingested,21-2081
Groves v. McDonough,2022-05-17,DYK,ingested,21-2081
"Atlanta Gas Light Company v. Bennett Regulator Guards, Inc.",2022-05-13,STOLL,ingested,21-1759
"Atlanta Gas Light Company v. Bennett Regulator Guards, Inc.",2022-05-13,STOLL,ingested,21-1759
"Sekri, Inc. v. United States",2022-05-13,"US



 REYNA",ingested,21-1936
"Sekri, Inc. v. United States",2022-05-13,Cunningham,ingested,21-1936
Kennedy v. McDonough,2022-05-11,STOLL,ingested,21-1798
Kennedy v. McDonough,2022-05-11,Newman,ingested,21-1798
"Sound View Innovations, LLC v. Hulu, LLC",2022-05-11,TARANTO,ingested,21-1998
"Sound View Innovations, LLC v. Hulu, LLC",2022-05-11,TARANTO,ingested,21-1998
"Auris Health, Inc. v. Intuitive Surgical Operations",2022-04-29,REYNA,ingested,21-1732
"Auris Health, Inc. v. Intuitive Surgical Operations",2022-04-29,PROST,ingested,21-1732
"Sunoco Partners Marketing v. U.S. Venture, Inc.",2022-04-29,Prost,ingested,20-1640
"Sunoco Partners Marketing v. U.S. Venture, Inc.",2022-04-29,STOLL,ingested,20-1640
"M S International, Inc. v. United States",2022-04-25,STOLL,ingested,21-1679
"M S International, Inc. v. United States",2022-04-25,Hughes,ingested,21-1679
Mid Continent Steel & Wire v. United States,2022-04-21,Taranto,ingested,21-1747
Mid Continent Steel & Wire v. United States,2022-04-21,TARANTO,ingested,21-1747
"Apple Inc. v. Zipit Wireless, Inc.",2022-04-18,STOLL,ingested,21-1760
"Apple Inc. v. Zipit Wireless, Inc.",2022-04-18,STOLL,ingested,21-1760
Rickel v. Navy,2022-04-18,Cunningham,ingested,20-2147
Rickel v. Navy,2022-04-18,"NAVY



 HUGHES",ingested,20-2147
Bioparques De Occidente v. United States,2022-04-14,Taranto,ingested,20-2265
Bioparques De Occidente v. United States,2022-04-14,TARANTO,ingested,20-2265
Confederacion De Asociaciones v. United States,2022-04-14,Dyk,ingested,20-2232
Confederacion De Asociaciones v. United States,2022-04-14,TARANTO,ingested,20-2232
"Csi Aviation, Inc. v. Dhs",2022-04-14,HUGHES,ingested,21-1630
"Csi Aviation, Inc. v. Dhs",2022-04-14,Hughes,ingested,21-1630
Red Sun Farms v. United States,2022-04-14,TARANTO,ingested,20-2230
Red Sun Farms v. United States,2022-04-14,Taranto,ingested,20-2230
"Niazi Licensing Corporation v. St. Jude Medical S.C., Inc.",2022-04-11,STOLL,ingested,21-1864
"Niazi Licensing Corporation v. St. Jude Medical S.C., Inc.",2022-04-11,STOLL,ingested,21-1864
"Roche Diagnostics Corporation v. Meso Scale Diagnostics, LLC",2022-04-08,PROST,ingested,21-1609
"Roche Diagnostics Corporation v. Meso Scale Diagnostics, LLC",2022-04-08,Hughes,ingested,21-1609
"Littelfuse, Inc. v. Mersen USA Ep Corp.",2022-04-04,STOLL,ingested,21-2013
"Littelfuse, Inc. v. Mersen USA Ep Corp.",2022-04-04,STOLL,ingested,21-2013
"Genuine Enabling Technology v. Nintendo Co., Ltd.",2022-04-01,STOLL,ingested,20-2167
"Genuine Enabling Technology v. Nintendo Co., Ltd.",2022-04-01,STOLL,ingested,20-2167
Jones v. United States,2022-03-31,Schall,ingested,20-2298
Jones v. United States,2022-03-31,SCHALL,ingested,20-2298
Slaughter v. McDonough,2022-03-30,Cunningham,ingested,21-1367
Slaughter v. McDonough,2022-03-30,CUNNINGHAM,ingested,21-1367
Starkist Co. v. United States,2022-03-30,REYNA,ingested,21-1548
Starkist Co. v. United States,2022-03-30,Reyna,ingested,21-1548
"Veteran Warriors, Inc. v. Secretary of Veterans Affairs",2022-03-25,Chen,ingested,21-1378
"Veteran Warriors, Inc. v. Secretary of Veterans Affairs",2022-03-25,Chen,ingested,21-1378
"Dyfan, LLC v. Target Corporation",2022-03-24,STOLL,ingested,21-1725
"Dyfan, LLC v. Target Corporation",2022-03-24,Stoll,ingested,21-1725
"Hunting Titan, Inc. v. Dynaenergetics Europe Gmbh",2022-03-24,HUGHES,ingested,20-2163
"Hunting Titan, Inc. v. Dynaenergetics Europe Gmbh",2022-03-24,Hughes,ingested,20-2163
Wolfe v. McDonough,2022-03-17,Dyk,ingested,20-1958
Wolfe v. McDonough,2022-03-17,STOLL,ingested,20-1958
Biogen International Gmbh v. Mylan Pharmaceuticals Inc.,2022-03-16,Newman,ingested,20-1933
Biogen International Gmbh v. Mylan Pharmaceuticals Inc.,2022-03-16,HUGHES,ingested,20-1933
"Basf Plant Science, Lp v. Commonwealth Scientific",2022-03-15,CHEN,ingested,20-1415
"Basf Plant Science, Lp v. Commonwealth Scientific",2022-03-15,Taranto,ingested,20-1415
Martinez-Bodon v. McDonough,2022-03-15,Hughes,ingested,21-1328
Martinez-Bodon v. McDonough,2022-03-15,HUGHES,ingested,21-1328
"Almirall, LLC v. Amneal Pharmaceuticals LLC",2022-03-14,CUNNINGHAM,ingested,20-2331
"Almirall, LLC v. Amneal Pharmaceuticals LLC",2022-03-14,Lourie,ingested,20-2331
"Nexteel Co., Ltd. v. United States",2022-03-11,Hughes,ingested,21-1334
"Nexteel Co., Ltd. v. United States",2022-03-11,HUGHES,ingested,21-1334
Fleming v. Cirrus Design Corporation,2022-03-10,STOLL,ingested,21-1561
Fleming v. Cirrus Design Corporation,2022-03-10,STOLL,ingested,21-1561
Apple Inc. v. Mph Technologies Oy,2022-03-09,Taranto,ingested,21-1532
Apple Inc. v. Mph Technologies Oy,2022-03-09,Taranto,ingested,21-1532
"In Re VOLKSWAGEN GROUP OF AMERICA, INC.",2022-03-09,Per Curiam,ingested,22-108
"In Re VOLKSWAGEN GROUP OF AMERICA, INC.",2022-03-09,Chen,ingested,22-108
Broadcom Corporation v. Itc,2022-03-08,Lourie,ingested,20-2008
Broadcom Corporation v. Itc,2022-03-08,Lourie,ingested,20-2008
Taha v. United States,2022-03-07,HUGHES,ingested,20-2061
Taha v. United States,2022-03-07,HUGHES,ingested,20-2061
"Mitchco International, Inc. v. United States",2022-03-03,CUNNINGHAM,ingested,21-1556
"Mitchco International, Inc. v. United States",2022-03-03,Dyk,ingested,21-1556
"Dbn Holding, Inc. v. Itc",2022-03-01,Reyna,ingested,20-2342
"Dbn Holding, Inc. v. Itc",2022-03-01,"ITC



 REYNA",ingested,20-2342
In Re VIOLATION OF THE REVISED PROTOCOLS,2022-02-25,Per Curiam,ingested,22-9000
In Re VIOLATION OF THE REVISED PROTOCOLS,2022-02-25,Per Curiam,ingested,22-9000
Ampersand Chowchilla Biomass v. United States,2022-02-24,STOLL,ingested,21-1385
Ampersand Chowchilla Biomass v. United States,2022-02-24,STOLL,ingested,21-1385
Bannister v. DVA,2022-02-24,HUGHES,ingested,21-1832
Bannister v. DVA,2022-02-24,HUGHES,ingested,21-1832
Bryant v. DVA,2022-02-24,"DVA



 PROST",ingested,21-1896
Bryant v. DVA,2022-02-24,Taranto,ingested,21-1896
Fletcher v. United States,2022-02-24,CHEN,ingested,21-1625
Fletcher v. United States,2022-02-24,CHEN,ingested,21-1625
In Re ELSTER,2022-02-24,Dyk,ingested,20-2205
In Re ELSTER,2022-02-24,CHEN,ingested,20-2205
alarm.com Incorporated v. Hirshfeld,2022-02-24,Taranto,ingested,21-2102
alarm.com Incorporated v. Hirshfeld,2022-02-24,CUNNINGHAM,ingested,21-2102
"Fairholme Funds, Inc. v. United States",2022-02-22,,ingested,20-1912
"Fairholme Funds, Inc. v. United States",2022-02-22,,ingested,20-1912
Washington Federal v. United States,2022-02-22,,ingested,20-2190
Washington Federal v. United States,2022-02-22,MALLEY,ingested,20-2190
"Vas Realty, LLC v. United States",2022-02-18,REYNA,ingested,21-1962
"Vas Realty, LLC v. United States",2022-02-18,Reyna,ingested,21-1962
Standley v. Energy,2022-02-16,MALLEY,ingested,21-2149
"Glaxosmithkline LLC v. Teva Pharmaceuticals USA, Inc.",2022-02-11,Per Curiam,ingested,18-1976
"Glaxosmithkline LLC v. Teva Pharmaceuticals USA, Inc.",2022-02-11,Reyna,ingested,18-1976
"Intuitive Surgical, Inc. v. Ethicon LLC",2022-02-11,,ingested,20-1481
"Intuitive Surgical, Inc. v. Ethicon LLC",2022-02-11,STOLL,ingested,20-1481
"Adapt Pharma Operations v. Teva Pharmaceuticals USA, Inc.",2022-02-10,STOLL,ingested,20-2106
"Adapt Pharma Operations v. Teva Pharmaceuticals USA, Inc.",2022-02-10,Stoll,ingested,20-2106
"Junker v. Medical Components, Inc.",2022-02-10,STOLL,ingested,21-1649
"Junker v. Medical Components, Inc.",2022-02-10,STOLL,ingested,21-1649
Ash v. Opm,2022-02-09,Per Curiam,ingested,21-2194
Ash v. Opm,2022-02-09,Per Curiam,ingested,21-2194
"Aspen Consulting, LLC v. Secretary of the Army",2022-02-09,CUNNINGHAM,ingested,21-1381
"Aspen Consulting, LLC v. Secretary of the Army",2022-02-09,Dyk,ingested,21-1381
"Uniloc USA, Inc. v. Apple Inc.",2022-02-09,Lourie,ingested,21-1568
"Uniloc USA, Inc. v. Apple Inc.",2022-02-09,LOURIE,ingested,21-1568
"Nippon Shinyaku Co., Ltd. v. Sarepta Therapeutics, Inc.",2022-02-08,Lourie,ingested,21-2369
"Nippon Shinyaku Co., Ltd. v. Sarepta Therapeutics, Inc.",2022-02-08,STOLL,ingested,21-2369
Apple Inc. v. Wi-Lan Inc.,2022-02-04,Cunningham,ingested,20-2011
Apple Inc. v. Wi-Lan Inc.,2022-02-04,Prost,ingested,20-2011
"Quanergy Systems, Inc. v. Velodyne Lidar USA, Inc.",2022-02-04,MALLEY,ingested,20-2070
"Quanergy Systems, Inc. v. Velodyne Lidar USA, Inc.",2022-02-04,,ingested,20-2070
The California Institute v. Broadcom Limited,2022-02-04,Linn,ingested,20-2222
The California Institute v. Broadcom Limited,2022-02-04,DYK,ingested,20-2222
"Blephex, LLC v. Myco Industries, Inc.",2022-02-03,MALLEY,ingested,21-1149
"Blephex, LLC v. Myco Industries, Inc.",2022-02-03,MALLEY,ingested,21-1149
"Plasmacam, Inc. v. Cncelectronics, LLC",2022-02-03,REYNA,ingested,21-1689
"Plasmacam, Inc. v. Cncelectronics, LLC",2022-02-03,DYK,ingested,21-1689
Rudisill v. McDonough,2022-02-03,Per Curiam,ingested,20-1637
Rudisill v. McDonough,2022-02-03,Cunningham,ingested,20-1637
In Re VOX POPULI REGISTRY LTD.,2022-02-02,STOLL,ingested,21-1496
In Re VOX POPULI REGISTRY LTD.,2022-02-02,STOLL,ingested,21-1496
Qualcomm Incorporated v. Apple Inc.,2022-02-01,Chen,ingested,20-1558
Qualcomm Incorporated v. Apple Inc.,2022-02-01,CHEN,ingested,20-1558
"Canadian Solar, Inc. v. United States",2022-01-28,Chen,ingested,21-1434
"Canadian Solar, Inc. v. United States",2022-01-28,CHEN,ingested,21-1434
"Nature Simulation Systems Inc. v. Autodesk, Inc.",2022-01-27,NEWMAN,ingested,20-2257
"Nature Simulation Systems Inc. v. Autodesk, Inc.",2022-01-27,Newman,ingested,20-2257
Kyocera Senco Indus. Tools Inc v. Itc,2022-01-21,Cunningham,ingested,20-1046
Anderson v. United States,2022-01-20,Reyna,ingested,21-1445
Gurley v. McDonough,2022-01-20,Taranto,ingested,21-1490
Nicely v. United States,2022-01-20,Malley,ingested,20-1856
Smolinski v. MSPB,2022-01-19,Reyna,ingested,21-1751
"Evolusion Concepts, Inc. v. Hoc Events, Inc.",2022-01-14,Taranto,ingested,21-1963
Breland v. McDonough,2022-01-11,Stoll,ingested,20-2199
Brown v. United States,2022-01-05,Lourie,ingested,21-1721
Wright v. Hhs,2022-01-05,Hughes,ingested,21-1524
Novartis Pharmaceuticals v. Accord Healthcare Inc.,2022-01-03,Circuit Judge,ingested,21-1070
Novartis Pharmaceuticals v. Accord Healthcare Inc.,2022-01-03,,ingested,21-1070
System Studies & Simulation v. United States,2021-12-30,Taranto,ingested,21-1469
System Studies & Simulation v. United States,2021-12-30,TARANTO,ingested,21-1469
Intel Corporation v. Qualcomm Incorporated,2021-12-28,HUGHES,ingested,20-1664
Intel Corporation v. Qualcomm Incorporated,2021-12-28,HUGHES,ingested,20-1828
Intel Corporation v. Qualcomm Incorporated,2021-12-28,Taranto,ingested,20-1828
Intel Corporation v. Qualcomm Incorporated,2021-12-28,Prost,ingested,20-1664
Lynch v. McDonough,2021-12-17,PROST,ingested,20-2067
Lynch v. McDonough,2021-12-17,Prost,ingested,20-2067
Metzinger v. Department of Veterans Affairs,2021-12-14,STOLL,ingested,20-1906
Metzinger v. Department of Veterans Affairs,2021-12-14,Prost,ingested,20-1906
"The Tolliver Group, Inc. v. United States",2021-12-13,CHEN,ingested,20-2341
"The Tolliver Group, Inc. v. United States",2021-12-13,CHEN,ingested,20-2341
Bell v. United States,2021-12-10,Stoll,ingested,21-1678
Bell v. United States,2021-12-10,Stoll,ingested,21-1678
Hyundai Steel Company v. United States,2021-12-10,Bryson,ingested,21-1748
Hyundai Steel Company v. United States,2021-12-10,HUGHES,ingested,21-1748
Astrazeneca Ab v. Mylan Pharmaceuticals Inc.,2021-12-08,Stoll,ingested,21-1729
Astrazeneca Ab v. Mylan Pharmaceuticals Inc.,2021-12-08,STOLL,ingested,21-1729
"Harmonia Holdings Group, LLC v. United States",2021-12-07,Reyna,ingested,20-1538
"Harmonia Holdings Group, LLC v. United States",2021-12-07,REYNA,ingested,20-1538
"Teva Pharmaceuticals USA v. Corcept Therapeutics, Inc.",2021-12-07,Reyna,ingested,21-1360
"Teva Pharmaceuticals USA v. Corcept Therapeutics, Inc.",2021-12-07,Reyna,ingested,21-1360
"Moderna Tx, Inc. v. Arbutus Biopharma Corporation",2021-12-01,Lourie,ingested,20-2329
"Modernatx, Inc. v. Arbutus Biopharma Corporation",2021-12-01,Lourie,ingested,20-1184
Biogen International Gmbh v. Mylan Pharmaceuticals Inc.,2021-11-30,Reyna,ingested,20-1933
"Indivior Uk Limited v. Dr. Reddy""s Laboratories S.A.",2021-11-24,Chen,ingested,20-2073
University of South Florida v. Fujifilm Medical Systems,2021-11-23,Stoll,ingested,20-1872
Jkb Solutions and Services v. United States,2021-11-17,MALLEY,ingested,21-1257
"Galperti, Inc. v. Galperti S.R.L.",2021-11-12,Taranto,ingested,21-1011
"Rohm Semiconductor USA, LLC v. Maxpower Semiconductor, Inc.",2021-11-12,CHEN,ingested,21-1709
Apple Inc. v. Qualcomm Incorporated,2021-11-10,Prost,ingested,20-1683
Celgene Corporation v. Mylan Pharmaceuticals Inc.,2021-11-05,Prost,ingested,21-1154
University of Strathclyde v. Clear-Vu Lighting LLC,2021-11-04,STOLL,ingested,20-2243
"Kent International, Inc. v. United States",2021-11-03,Linn,ingested,21-1065
Valles v. State,2021-10-29,CHEN,ingested,20-1686
"Brooklyn Brewery Corporation v. Brooklyn Brew Shop, LLC",2021-10-27,HUGHES,ingested,20-2277
"Energy Heating, LLC v. Heat On-The-Fly, LLC",2021-10-14,Prost,ingested,20-2038
"Energy Heating, LLC v. Heat On-The-Fly, LLC",2021-10-14,Prost,ingested,20-2038
"Mobility Workx, LLC v. Unified Patents, LLC",2021-10-13,Dyk,ingested,20-1441
"Mobility Workx, LLC v. Unified Patents, LLC",2021-10-13,Dyk,ingested,20-1441
Hyatt v. Hirshfeld,2021-10-12,Hughes,ingested,20-2321
Hyatt v. Hirshfeld,2021-10-12,Hughes,ingested,20-2321
"Traxcell Technologies, LLC v. Nokia Solutions and Networks",2021-10-12,Prost,ingested,20-1440
"Traxcell Technologies, LLC v. Sprint Communications Company",2021-10-12,Prost,ingested,20-1852
Philbrook v. McDonough,2021-10-08,Hughes,ingested,20-2233
"Kannuu Pty Ltd. v. Samsung Electronics Co., Ltd.",2021-10-07,Chen,ingested,21-1638
Acceleration Bay LLC v. Take-Two Interactive Software,2021-10-04,Reyna,ingested,20-1700
Cosmokey Solutions Gmbh & Co. v. Duo Security LLC,2021-10-04,STOLL,ingested,20-2043
Hyundai Electric v. United States,2021-10-04,Reyna,ingested,21-1009
